Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing,MAPE,0.0638,0.48
Exponential Smoothing,MAD,3.4567,0.48
Exponential Smoothing,RMSE,6.3719,0.48
Exponential Smoothing-log,MAPE,0.064,0.48
Exponential Smoothing-log,MAD,3.4676,0.48
Exponential Smoothing-log,RMSE,6.3805,0.48
Exponential Smoothing-sqrt,MAPE,0.0639,0.48
Exponential Smoothing-sqrt,MAD,3.4622,0.48
Exponential Smoothing-sqrt,RMSE,6.3762,0.48
Exponential Smoothing,MAPE,0.0637,0.49
Exponential Smoothing,MAD,3.4498,0.49
Exponential Smoothing,RMSE,6.3664,0.49
Exponential Smoothing-log,MAPE,0.0639,0.49
Exponential Smoothing-log,MAD,3.4604,0.49
Exponential Smoothing-log,RMSE,6.3748,0.49
Exponential Smoothing-sqrt,MAPE,0.0638,0.49
Exponential Smoothing-sqrt,MAD,3.4551,0.49
Exponential Smoothing-sqrt,RMSE,6.3706,0.49
Exponential Smoothing,MAPE,0.0635,0.5
Exponential Smoothing,MAD,3.4434,0.5
Exponential Smoothing,RMSE,6.361,0.5
Exponential Smoothing-log,MAPE,0.0637,0.5
Exponential Smoothing-log,MAD,3.4532,0.5
Exponential Smoothing-log,RMSE,6.3691,0.5
Exponential Smoothing-sqrt,MAPE,0.0636,0.5
Exponential Smoothing-sqrt,MAD,3.4482,0.5
Exponential Smoothing-sqrt,RMSE,6.365,0.5
Exponential Smoothing,MAPE,0.0634,0.51
Exponential Smoothing,MAD,3.4369,0.51
Exponential Smoothing,RMSE,6.3556,0.51
Exponential Smoothing-log,MAPE,0.0636,0.51
Exponential Smoothing-log,MAD,3.4462,0.51
Exponential Smoothing-log,RMSE,6.3634,0.51
Exponential Smoothing-sqrt,MAPE,0.0635,0.51
Exponential Smoothing-sqrt,MAD,3.4416,0.51
Exponential Smoothing-sqrt,RMSE,6.3595,0.51
Exponential Smoothing,MAPE,0.0633,0.52
Exponential Smoothing,MAD,3.4305,0.52
Exponential Smoothing,RMSE,6.3502,0.52
Exponential Smoothing-log,MAPE,0.0635,0.52
Exponential Smoothing-log,MAD,3.4395,0.52
Exponential Smoothing-log,RMSE,6.3578,0.52
Exponential Smoothing-sqrt,MAPE,0.0634,0.52
Exponential Smoothing-sqrt,MAD,3.435,0.52
Exponential Smoothing-sqrt,RMSE,6.354,0.52
Exponential Smoothing,MAPE,0.0632,0.53
Exponential Smoothing,MAD,3.4241,0.53
Exponential Smoothing,RMSE,6.3449,0.53
Exponential Smoothing-log,MAPE,0.0633,0.53
Exponential Smoothing-log,MAD,3.4328,0.53
